MILL_CD,MPNO,BOM_SEQ,CPNO,JUST_QTY,REAL_QTY,LOSS_RATE,START_DATE,STOP_DATE,WRK_GBN,OUT_GBN,USE_YN,ERP_UPD_TIME,ADDYMD,ADDMAN,UPDYMD,UPDMAN,ROUTCD,COST_YN,SCRAP,NATURAL,REPLACE_YN,REPLACE_PNO,SKIP_YN
1000,28270-5C010-G1,1,28271-5C010-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:59:23,170524,2021-11-01 16:00:16,170524,,0,,,0,,1
1000,28271-5C010-B1,1,28271-5C010-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:59:32,170524,2021-11-01 16:00:16,170524,,0,,,0,,1
1000,28270-5C010-G1,2,MF65000(24구가접용),2,2,,2021-11-01,,,,1,,2021-11-01 15:59:41,170524,2021-11-01 16:00:16,170524,,0,,,0,,1
1000,28270-5C010-G1,3,28274-5C010(28270-5C010),1,1,,2021-11-01,,,,1,,2021-11-01 15:59:49,170524,2021-11-01 16:00:16,170524,,0,,,0,,1
1000,28275-5C010,1,28275-5C010-L1,1,1,,2021-11-01,,,,1,,2021-11-01 16:00:31,170524,2021-11-26 13:56:16,170524,,0,,,0,,1
1000,28275-5C010-L1,1,28275-5C010-D1,1,1,,2021-11-01,,,,1,,2021-11-01 16:00:37,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28275-5C010-D1,1,28275-5C010-R1,1,1,,2021-11-01,,,,1,,2021-11-01 16:00:42,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28275-5C010-R1,1,28275-5C010-G1,1,1,,2021-11-01,,,,1,,2021-11-01 16:00:47,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28275-5C010-G1,1,28276-5C010-B1,1,1,,2021-11-01,,,,1,,2021-11-01 16:00:55,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28276-5C010-B1,1,28276-5C010-P1,1,1,,2021-11-01,,,,1,,2021-11-01 16:01:00,170524,2021-11-26 13:56:16,170524,,0,,,0,,1
1000,28276-5C010-P1,1,28276-5C010-C1,1,1,,2021-11-01,,,,1,,2021-11-01 16:01:05,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28275-5C010,2,282785C010,1,1,,2021-11-01,,,,1,,2021-11-01 16:01:18,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28275-5C010-G1,2,MF65000(24구가접용),1,1,,2021-11-01,,,,1,,2021-11-01 16:01:27,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
1000,28275-5C010-G1,3,28275-5C010-2(28275-5C010),1,1,,2021-11-01,,,,1,,2021-11-01 16:01:36,170524,2021-11-01 16:02:00,170524,,0,,,0,,1
